,Wake,Light,Deep,REM
318,48,269,45,57
319,46,240,40,122
320,43,219,67,67
321,29,227,4,47
322,33,243,25,64
323,78,458,85,174
324,21,186,46,87
325,0,0,0,0
326,20,133,45,64
327,26,185,46,62
328,40,227,47,55
329,20,139,59,77
330,73,320,75,123
331,41,294,45,113
332,0,0,0,0
333,79,306,107,142
334,30,186,55,90
335,38,173,54,96
336,33,238,37,60
337,69,269,48,84
338,76,334,81,115
339,89,525,94,94
340,44,202,44,112
341,46,226,0,120
342,41,224,26,73
343,32,254,11,70
344,38,253,47,56
345,48,304,65,115
346,56,323,50,144
347,0,0,0,0
348,61,317,87,120
349,43,227,61,81
350,84,357,59,143
351,45,399,54,129
352,32,189,39,87
353,34,157,57,85
354,55,262,62,150
355,57,354,76,175
356,51,285,48,75
357,0,0,0,0
358,61,305,93,123
359,39,239,58,74
360,30,210,10,30
361,47,238,48,45
362,42,208,67,100
363,50,201,53,112
364,43,259,28,99
365,0,0,0,0
366,71,298,28,140
367,25,177,33,65
368,30,215,33,55
369,31,252,12,45
370,38,204,79,76
371,0,0,0,0
372,80,353,33,97
373,56,431,82,152
374,41,195,64,69
375,48,262,31,35
376,57,359,62,128
377,52,284,30,117
378,0,0,0,0
379,53,202,79,102
380,63,332,79,144
381,46,352,60,147
382,48,320,24,78
383,77,344,83,88
384,64,314,105,93
385,60,424,59,113
386,0,0,0,0
387,51,258,38,82
388,73,248,91,159
389,78,458,85,174
390,44,271,38,40
391,44,263,13,53
392,101,398,91,115
393,41,236,41,71
394,73,403,56,86
395,71,296,87,122
396,23,156,22,58
397,22,189,58,71
398,44,170,77,82
399,28,179,57,84
400,28,209,65,112
401,56,377,55,127
402,40,405,41,48
403,0,0,0,0
404,36,182,76,76
405,39,238,30,84
406,0,0,0,0
407,40,223,49,75
408,57,310,36,76
409,54,190,74,87
410,73,222,78,99
411,0,0,0,0
412,34,242,99,121
413,37,227,51,77
414,45,241,48,67
415,56,222,58,80
416,74,374,102,159
417,72,386,72,113
418,34,211,50,83
419,46,215,44,47
420,0,0,0,0
421,22,186,62,73
422,41,255,7,44
423,55,262,62,150
424,74,306,80,107
425,77,428,79,132
426,53,279,74,128
427,62,299,68,117
428,75,441,69,156
429,65,337,92,112
430,64,438,108,208
431,23,147,41,126
432,35,217,36,92
433,29,223,36,67
434,41,264,55,55
435,66,281,50,71
436,68,406,79,143
437,67,433,85,175
438,28,232,44,53
439,0,0,0,0
440,50,210,40,71
441,33,224,35,113
442,29,237,39,71
443,51,251,57,100
444,62,225,55,74
445,60,455,70,113
446,23,216,42,76
447,0,0,0,0
448,51,213,37,127
449,28,212,29,92
450,49,214,25,82
451,47,208,67,96
452,51,309,75,134
453,60,415,119,150
454,40,228,55,67
455,0,0,0,0
456,35,242,46,76
457,44,271,38,40
458,86,344,93,120
459,75,388,94,118
460,54,287,85,119
461,49,340,111,116
462,48,282,71,78
463,73,252,87,132
464,69,304,65,111
465,75,360,77,121
466,77,397,88,139
467,76,282,73,115
468,56,268,71,97
469,55,346,72,125
470,68,275,66,108
471,78,289,52,90
472,101,432,69,121
473,89,403,64,123
474,63,289,85,90
475,84,348,45,74
476,64,276,69,121
477,66,284,123,89
478,0,0,0,0
479,81,380,66,143
480,61,410,90,115
481,75,315,59,107
482,54,310,100,96
483,61,280,72,103
484,0,0,0,0
485,41,224,57,97
486,67,344,79,134
487,66,365,77,126
488,84,352,70,139
489,74,306,80,107
490,70,333,78,99
491,76,329,45,107
492,79,284,69,119
493,56,357,79,150
494,60,239,63,108
495,53,293,99,129
496,70,335,71,56
497,78,331,54,135
498,75,330,58,90
499,68,332,72,84
500,95,426,109,148
501,76,308,100,107
502,82,307,70,101
503,25,142,11,29
504,38,202,43,80
505,70,261,86,87
506,60,267,64,79
507,93,365,93,120
508,76,362,97,127
509,58,274,97,118
510,51,321,74,78
511,58,241,121,160
512,70,245,98,90
513,59,296,57,106
514,94,310,113,152
515,63,365,76,104
516,70,317,97,127
517,77,313,69,122
518,86,307,63,108
519,62,261,107,115
520,48,259,41,90
521,86,344,93,120
522,62,351,54,66
523,60,255,53,99
524,58,351,68,100
525,119,318,33,123
526,95,489,92,145
